Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
68,15,5,119,3,Some Random Commen with Id 68
69,16,8,5,8,Some Random Commen with Id 69
70,16,8,141,5,Some Random Commen with Id 70
71,16,8,19,2,Some Random Commen with Id 71
72,16,8,127,2,Some Random Commen with Id 72
73,16,8,55,2,Some Random Commen with Id 73
74,16,8,108,9,Some Random Commen with Id 74
75,17,7,75,0,Some Random Commen with Id 75
76,17,7,90,7,Some Random Commen with Id 76
77,17,7,28,8,Some Random Commen with Id 77
78,17,7,107,2,Some Random Commen with Id 78
79,17,7,105,7,Some Random Commen with Id 79
80,17,7,118,8,Some Random Commen with Id 80
81,17,7,52,5,Some Random Commen with Id 81
82,18,9,90,2,Some Random Commen with Id 82
83,18,9,178,8,Some Random Commen with Id 83
84,18,9,95,5,Some Random Commen with Id 84
85,18,9,84,9,Some Random Commen with Id 85
86,18,9,52,5,Some Random Commen with Id 86
87,18,9,193,2,Some Random Commen with Id 87
88,19,1,59,7,Some Random Commen with Id 88
89,19,1,155,2,Some Random Commen with Id 89
90,19,1,0,2,Some Random Commen with Id 90
91,20,2,85,6,Some Random Commen with Id 91
92,20,2,48,0,Some Random Commen with Id 92
93,20,2,173,7,Some Random Commen with Id 93
94,23,9,1,5,Some Random Commen with Id 94
95,23,9,179,0,Some Random Commen with Id 95
96,23,9,145,5,Some Random Commen with Id 96
97,23,9,23,7,Some Random Commen with Id 97
98,23,9,103,4,Some Random Commen with Id 98
99,23,9,124,0,Some Random Commen with Id 99
100,23,9,56,8,Some Random Commen with Id 100
101,23,9,178,3,Some Random Commen with Id 101
102,24,0,109,2,Some Random Commen with Id 102
103,24,0,20,6,Some Random Commen with Id 103
104,24,0,48,0,Some Random Commen with Id 104
105,24,0,98,2,Some Random Commen with Id 105
106,25,7,93,4,Some Random Commen with Id 106
107,25,7,66,5,Some Random Commen with Id 107
108,25,7,39,4,Some Random Commen with Id 108
109,25,7,157,2,Some Random Commen with Id 109
110,25,7,4,3,Some Random Commen with Id 110
111,25,7,116,5,Some Random Commen with Id 111
112,26,4,44,1,Some Random Commen with Id 112
113,26,4,76,1,Some Random Commen with Id 113
114,26,4,69,6,Some Random Commen with Id 114
115,26,4,117,3,Some Random Commen with Id 115
116,26,4,187,1,Some Random Commen with Id 116
117,26,4,148,5,Some Random Commen with Id 117
118,26,4,116,8,Some Random Commen with Id 118
119,26,4,96,8,Some Random Commen with Id 119
120,27,4,107,2,Some Random Commen with Id 120
121,28,2,119,9,Some Random Commen with Id 121
122,28,2,17,5,Some Random Commen with Id 122
123,28,2,98,6,Some Random Commen with Id 123
124,28,2,168,9,Some Random Commen with Id 124
125,28,2,44,1,Some Random Commen with Id 125
126,28,2,143,2,Some Random Commen with Id 126
127,29,7,175,6,Some Random Commen with Id 127
128,29,7,92,7,Some Random Commen with Id 128
129,29,7,101,2,Some Random Commen with Id 129
130,29,7,82,6,Some Random Commen with Id 130
131,29,7,24,5,Some Random Commen with Id 131
132,30,8,197,8,Some Random Commen with Id 132
133,30,8,71,3,Some Random Commen with Id 133
134,30,8,15,1,Some Random Commen with Id 134
135,31,0,194,4,Some Random Commen with Id 135
136,31,0,15,6,Some Random Commen with Id 136
137,31,0,174,1,Some Random Commen with Id 137
138,31,0,69,3,Some Random Commen with Id 138
139,32,8,94,5,Some Random Commen with Id 139
140,32,8,60,4,Some Random Commen with Id 140
141,32,8,11,4,Some Random Commen with Id 141
142,32,8,159,4,Some Random Commen with Id 142
143,32,8,16,7,Some Random Commen with Id 143
144,32,8,25,9,Some Random Commen with Id 144
145,32,8,154,1,Some Random Commen with Id 145
146,32,8,120,3,Some Random Commen with Id 146
147,32,8,61,2,Some Random Commen with Id 147
148,34,8,21,3,Some Random Commen with Id 148
149,34,8,184,4,Some Random Commen with Id 149
150,34,8,130,1,Some Random Commen with Id 150
151,34,8,152,0,Some Random Commen with Id 151
152,34,8,109,0,Some Random Commen with Id 152
153,35,6,192,8,Some Random Commen with Id 153
154,35,6,24,0,Some Random Commen with Id 154
155,36,1,83,9,Some Random Commen with Id 155
156,36,1,186,5,Some Random Commen with Id 156
157,36,1,69,4,Some Random Commen with Id 157
158,36,1,15,8,Some Random Commen with Id 158
159,36,1,2,6,Some Random Commen with Id 159
160,36,1,168,0,Some Random Commen with Id 160
161,37,6,182,4,Some Random Commen with Id 161
162,37,6,175,3,Some Random Commen with Id 162
163,37,6,193,2,Some Random Commen with Id 163
164,37,6,123,8,Some Random Commen with Id 164
165,37,6,32,5,Some Random Commen with Id 165
166,37,6,151,4,Some Random Commen with Id 166
167,37,6,64,9,Some Random Commen with Id 167
168,37,6,188,8,Some Random Commen with Id 168
169,38,0,160,4,Some Random Commen with Id 169
170,38,0,199,6,Some Random Commen with Id 170
171,38,0,57,8,Some Random Commen with Id 171
172,38,0,31,0,Some Random Commen with Id 172
173,38,0,64,4,Some Random Commen with Id 173
174,38,0,135,0,Some Random Commen with Id 174
175,38,0,26,6,Some Random Commen with Id 175
176,38,0,169,0,Some Random Commen with Id 176
177,38,0,105,5,Some Random Commen with Id 177
